lot_id,sku,warehouse,quantity_on_hand,received_date,expiration_date,unit_cost
OTG-LOT-RISK-0001,OTG-RAM-001,LA DC,840,2025-09-22,2026-06-19,17.34
OTG-LOT-RISK-0002,OTG-CUR-001,NJ DC,720,2025-06-27,2026-06-27,24.14
OTG-LOT-RISK-0003,OTG-RIC-001,Dallas DC,640,2025-11-15,2026-07-13,31.32
OTG-LOT-RISK-0004,OTG-OIL-001,LA DC,510,2025-02-04,2026-07-29,53.02
OTG-LOT-RISK-0005,OTG-SAU-001,Seattle DC,620,2025-02-28,2026-08-22,22.74
OTG-LOT-00006,OTG-RAM-001,Seattle DC,960,2026-03-20,2026-12-15,19.09
OTG-LOT-00007,OTG-RAM-001,Seattle DC,720,2026-02-11,2026-11-08,14.18
OTG-LOT-00008,OTG-RAM-001,Seattle DC,960,2026-01-11,2026-10-08,16.88
OTG-LOT-00009,OTG-RAM-001,NJ DC,720,2026-01-28,2026-10-25,17.53
OTG-LOT-00010,OTG-RAM-001,LA DC,720,2026-03-05,2026-11-30,19.82
OTG-LOT-00011,OTG-RAM-002,Seattle DC,1440,2026-04-08,2027-01-03,21.47
OTG-LOT-00012,OTG-RAM-002,LA DC,600,2026-05-07,2027-02-01,21.96
OTG-LOT-00013,OTG-RAM-002,Seattle DC,480,2026-04-19,2027-01-14,17.21
OTG-LOT-00014,OTG-RAM-002,Seattle DC,960,2026-01-03,2026-09-30,19.04
OTG-LOT-00015,OTG-RAM-002,NJ DC,720,2026-02-20,2026-11-17,21.28
OTG-LOT-00016,OTG-RAM-003,LA DC,1200,2026-03-16,2026-12-11,21.1
OTG-LOT-00017,OTG-RAM-003,LA DC,1440,2026-03-14,2026-12-09,20.29
OTG-LOT-00018,OTG-RAM-003,Seattle DC,360,2026-03-19,2026-12-14,15.52
OTG-LOT-00019,OTG-RAM-003,LA DC,360,2026-01-20,2026-10-17,19.06
OTG-LOT-00020,OTG-RAM-003,Dallas DC,600,2026-03-09,2026-12-04,21.38
OTG-LOT-00021,OTG-RAM-004,Seattle DC,960,2025-12-16,2026-09-12,14.8
OTG-LOT-00022,OTG-RAM-004,Seattle DC,360,2026-01-18,2026-10-15,15.97
OTG-LOT-00023,OTG-RAM-004,LA DC,960,2026-03-07,2026-12-02,15.5
OTG-LOT-00024,OTG-RAM-004,Seattle DC,720,2026-05-11,2027-02-05,16.45
OTG-LOT-00025,OTG-RAM-004,Dallas DC,720,2026-03-14,2026-12-09,15.74
OTG-LOT-00026,OTG-RAM-005,Seattle DC,600,2026-01-02,2026-09-29,15.45
OTG-LOT-00027,OTG-RAM-005,Seattle DC,1440,2026-01-29,2026-10-26,16.36
