order_id,customer_id,order_date,sku,quantity
OTG-ORD-000001,CUST-HMART-WEST,2024-06-05,OTK-DEMO-SAU-012,60
OTG-ORD-000002,CUST-HMART-WEST,2024-06-10,02208K,48
OTG-ORD-000003,CUST-HMART-WEST,2024-06-11,OTK-DEMO-SAU-015,288
OTG-ORD-000004,CUST-HMART-WEST,2024-06-15,OTK-DEMO-RIC-001,198
OTG-ORD-000005,CUST-HMART-WEST,2024-06-22,OTK-DEMO-SAU-012,108
OTG-ORD-000006,CUST-HMART-WEST,2024-07-05,OTK-DEMO-SAU-015,144
OTG-ORD-000007,CUST-HMART-WEST,2024-07-10,OTK-DEMO-FRZ-006,240
OTG-ORD-000008,CUST-HMART-WEST,2024-07-14,08257K,64
OTG-ORD-000009,CUST-HMART-WEST,2024-07-15,UPC-645175572640,80
OTG-ORD-000010,CUST-HMART-WEST,2024-07-21,OTK-DEMO-RAM-014,96
OTG-ORD-000011,CUST-HMART-WEST,2024-08-03,OTK-DEMO-OIL-001,360
OTG-ORD-000012,CUST-HMART-WEST,2024-08-07,OTK-DEMO-CUR-010,48
OTG-ORD-000013,CUST-HMART-WEST,2024-08-14,08262K,64
OTG-ORD-000014,CUST-HMART-WEST,2024-09-04,OTK-DEMO-CUR-010,120
OTG-ORD-000015,CUST-HMART-WEST,2024-09-08,OTK-DEMO-OIL-001,264
OTG-ORD-000016,CUST-HMART-WEST,2024-09-13,OTK-DEMO-RIC-004,276
OTG-ORD-000017,CUST-HMART-WEST,2024-09-17,08253K,100
OTG-ORD-000018,CUST-HMART-WEST,2024-10-06,OTK-DEMO-RIC-001,216
OTG-ORD-000019,CUST-HMART-WEST,2024-10-08,03632K,408
OTG-ORD-000020,CUST-HMART-WEST,2024-10-11,OTK-DEMO-MIX-012,96
OTG-ORD-000021,CUST-HMART-WEST,2024-10-17,OTK-DEMO-RIC-002,72
OTG-ORD-000022,CUST-HMART-WEST,2024-10-19,UPC-645175572640,180
OTG-ORD-000023,CUST-HMART-WEST,2024-11-03,OTK-DEMO-SAU-015,48
OTG-ORD-000024,CUST-HMART-WEST,2024-11-08,08257K,112
OTG-ORD-000025,CUST-HMART-WEST,2024-11-11,08257K,224
OTG-ORD-000026,CUST-HMART-WEST,2024-12-05,08252K,280
OTG-ORD-000027,CUST-HMART-WEST,2024-12-10,02208K,72
OTG-ORD-000028,CUST-HMART-WEST,2024-12-14,OTK-DEMO-SAU-015,96
OTG-ORD-000029,CUST-HMART-WEST,2024-12-17,03632K,192
OTG-ORD-000030,CUST-HMART-WEST,2025-01-05,OTK-DEMO-SAU-012,120
OTG-ORD-000031,CUST-HMART-WEST,2025-01-07,03632K,96
OTG-ORD-000032,CUST-HMART-WEST,2025-01-14,08253K,440
OTG-ORD-000033,CUST-HMART-WEST,2025-01-15,OTK-DEMO-FRZ-003,112
OTG-ORD-000034,CUST-HMART-WEST,2025-01-22,OTK-DEMO-VNG-001,240
OTG-ORD-000035,CUST-HMART-WEST,2025-02-04,OTK-DEMO-FRZ-007,48
OTG-ORD-000036,CUST-HMART-WEST,2025-02-07,OTK-DEMO-SAU-015,72
OTG-ORD-000037,CUST-HMART-WEST,2025-02-11,08257K,288
OTG-ORD-000038,CUST-HMART-WEST,2025-02-15,OTK-DEMO-RIC-006,72
OTG-ORD-000039,CUST-HMART-WEST,2025-03-04,08253K,280
OTG-ORD-000040,CUST-HMART-WEST,2025-03-10,OTK-DEMO-RIC-002,234
OTG-ORD-000041,CUST-HMART-WEST,2025-03-11,UPC-645175572640,100
OTG-ORD-000042,CUST-HMART-WEST,2025-03-15,OTK-DEMO-SAU-005,72
OTG-ORD-000043,CUST-HMART-WEST,2025-04-04,02208K,48
OTG-ORD-000044,CUST-HMART-WEST,2025-04-07,08253K,480
OTG-ORD-000045,CUST-HMART-WEST,2025-04-11,OTK-DEMO-RIC-006,72
OTG-ORD-000046,CUST-HMART-WEST,2025-04-16,OTK-DEMO-CUR-010,48
OTG-ORD-000047,CUST-HMART-WEST,2025-04-20,02208K,48
OTG-ORD-000048,CUST-HMART-WEST,2025-05-03,02208K,72
OTG-ORD-000049,CUST-HMART-WEST,2025-05-10,OTK-DEMO-SAU-012,132
OTG-ORD-000050,CUST-HMART-WEST,2025-05-13,OTK-DEMO-SAU-015,48
OTG-ORD-000051,CUST-HMART-WEST,2025-05-18,OTK-DEMO-SAU-015,264
OTG-ORD-000052,CUST-HMART-WEST,2025-06-03,OTK-DEMO-RIC-001,720
OTG-ORD-000053,CUST-HMART-WEST,2025-06-10,OTK-DEMO-SOU-007,204
OTG-ORD-000054,CUST-HMART-WEST,2025-06-14,OTK-DEMO-CUR-010,48
OTG-ORD-000055,CUST-HMART-WEST,2025-06-15,OTK-DEMO-OIL-001,144
OTG-ORD-000056,CUST-HMART-WEST,2025-07-03,UPC-645175572640,60
OTG-ORD-000057,CUST-HMART-WEST,2025-07-08,OTK-DEMO-CUR-010,96
OTG-ORD-000058,CUST-HMART-WEST,2025-07-12,OTK-DEMO-RIC-002,72
OTG-ORD-000059,CUST-HMART-WEST,2025-08-06,08253K,140
OTG-ORD-000060,CUST-HMART-WEST,2025-08-10,UPC-645175572640,100
OTG-ORD-000061,CUST-HMART-WEST,2025-08-14,OTK-DEMO-RIC-002,270
OTG-ORD-000062,CUST-HMART-WEST,2025-09-05,03632K,264
OTG-ORD-000063,CUST-HMART-WEST,2025-09-10,08252K,360
OTG-ORD-000064,CUST-HMART-WEST,2025-09-12,UPC-645175572640,40
OTG-ORD-000065,CUST-HMART-WEST,2025-10-06,OTK-DEMO-OIL-001,396
OTG-ORD-000066,CUST-HMART-WEST,2025-10-09,03632K,216
OTG-ORD-000067,CUST-HMART-WEST,2025-10-13,OTK-DEMO-OIL-001,240
OTG-ORD-000068,CUST-HMART-WEST,2025-10-15,UPC-645175572640,120
OTG-ORD-000069,CUST-HMART-WEST,2025-11-04,OTK-DEMO-OIL-001,588
OTG-ORD-000070,CUST-HMART-WEST,2025-11-10,08253K,240
OTG-ORD-000071,CUST-HMART-WEST,2025-11-14,02208K,240
OTG-ORD-000072,CUST-HMART-WEST,2025-11-18,08262K,64
OTG-ORD-000073,CUST-HMART-WEST,2025-11-20,OTK-DEMO-RIC-006,96
OTG-ORD-000074,CUST-HMART-WEST,2025-12-03,OTK-DEMO-SAU-015,120
OTG-ORD-000075,CUST-HMART-WEST,2025-12-07,OTK-DEMO-OIL-001,480
OTG-ORD-000076,CUST-HMART-WEST,2025-12-13,OTK-DEMO-RIC-002,54
OTG-ORD-000077,CUST-HMART-WEST,2025-12-15,OTK-DEMO-VNG-002,240
OTG-ORD-000078,CUST-HMART-WEST,2025-12-22,OTK-DEMO-SAU-003,120
OTG-ORD-000079,CUST-HMART-WEST,2026-01-03,OTK-DEMO-MIX-001,120
OTG-ORD-000080,CUST-HMART-WEST,2026-01-08,08253K,120
OTG-ORD-000081,CUST-HMART-WEST,2026-01-14,OTK-DEMO-SAU-005,120
OTG-ORD-000082,CUST-HMART-WEST,2026-02-04,OTK-DEMO-RIC-001,216
OTG-ORD-000083,CUST-HMART-WEST,2026-02-07,UPC-645175572640,60
OTG-ORD-000084,CUST-HMART-WEST,2026-02-14,UPC-645175572640,280
OTG-ORD-000085,CUST-HMART-WEST,2026-02-16,OTK-DEMO-FRZ-005,176
